Proposal Name,OSO Slug,Status,Initial Delivery Date,OP Delivered,OP Total Amount,Intent,Chains,Attribution,Min Attribution Weighted,Defillama Slugs,Scope,Coincentives,Comments,Recipient Address,Proposal Link
Aerodrome Finance,aerodrome-finance,Sent,2025-04-04,"650,000","650,000",TVL,BASE,2%,1.00%,aerodrome-slipstream,Subset of pools,No,"• Incentives have been limited to a subset of pools, so we exclude all other pools from the TVL calculation
• List of incentivized pools: https://dune.com/queries/4978497/8238619",0xb074ec6c37659525EEf2Fb44478077901F878012,https://app.charmverse.io/op-grants/aerodrome-finance-25857780866004987
Alchemix AAVE ETH/USDC Vault Grant,alchemix,Sent,2025-03-28,"40,000","100,000",TVL,OPTIMISM,5%,5.00%,alchemix,Subset of vaults,No,"• Incentives have been limited to OP Mainnet, so we exclude all other chains from the TVL calculation
• Incentives have been limited to AAVE ETH and AAVE USDC vaults on OP Mainnet, so other vaults should be excluded",0x8cca517370CBfc33CC9810bfC7440832C47D251C,https://app.charmverse.io/op-grants/alchemix-aave-eth-usdc-vault-grant-8743081511188187
Bedrock's Base & BOB LRT Growth Plan,bedrock-technology,Sent,2025-05-29,"94,000","235,000",TVL,BASE; BOB,15%,13.50%,bedrock-unibtc,,Yes,"• Plan was to add $3 of co-incentives (Bedrock & partners) for every $1 in OP tokens.
• Incentives have been limited to BOB and Base, so we exclude all other chains from the TVL calculation",0x69d9576632696CfE94F2b54571cA881c59D8400E,https://app.charmverse.io/op-grants/bedrock-s-base-bob-lrt-growth-plan-6146221434906467
Euler Finance - Season 7,euler-xyz,,,,"500,000",TVL,BASE; BOB; INK; OPTIMISM; SWELLCHAIN; UNICHAIN,20%,20.75%,euler-v2,,Yes,"• Assume 20% of SuperStacks incentives (400K OP) went to Euler
• Gauntlet campaign was also running at the same time
• Don't have detailed breakdown of which chains incentives were deployed to",0x24BEc6FEFF64537d5970D3f568e21e8d5Ea31cB4,https://app.charmverse.io/op-grants/euler-finance-season-7-5576463144358519
Fluid DEX on Base,fluid-instadapp,Sent,2025-05-08,"200,000","500,000",TVL,BASE,2%,2.00%,fluid-dex; fluid-lending; fluid-lite,,No,• Same project received another S7 GC grant,0x4F6F977aCDD1177DCD81aB83074855EcB9C2D49e,https://app.charmverse.io/op-grants/fluid-dex-on-base-12731267690074222
Fluid on Superchain,fluid-instadapp,Sent,2025-05-08,"160,000","400,000",TVL,OPTIMISM,50%,100.00%,fluid-dex; fluid-lending; fluid-lite,Subset of stables,No,"• Same project received another S7 GC grant
• Incentives only targeting stablecoins
• Analysis only considers incentives on Optimism (no other DefiLlama data is available for other chains)",0x19934Bf00B1C3cAA244228563257e32d95aFc257,https://app.charmverse.io/op-grants/fluid-on-superchain-4625169031360912
Kyo Finance on Soneium,kyo-finance,Sent,2025-03-28,"250,000","250,000",TVL,SONEIUM,5%,5.00%,kyo-finance,,Yes,"• Total of 70M ASTR *($1.7M at ASTR price of $0.024)* committed to growing TVL on Soneium via the ACS campaign (2/20 and 5/30)
• Assumes 50% of ACS incentives went to Kyo, ie, $850K",0x965Cc6429922B5a0F1BD2A2C6bFb99DEd763Baf0,https://app.charmverse.io/op-grants/kyo-finance-on-soneium-08285509857879636
Mode DeFAI Application,mode-network,Sent,2025-04-24,"40,000","100,000",TVL,MODE,,,,,No,"• Mode tracked TVL inflows via a separate router integrated explicitly into the AI Terminal, so wonder if we could reach out to them to get access to their internal report",0xbe7946B7988a6556CFB78258592350e706786d36,https://app.charmverse.io/op-grants/mode-defai-application-6251295212903039
Moonwell Core Markets (Base + OP Mainnet),moonwell-fi,Sent,2025-03-28,"80,000","200,000",TVL,OPTIMISM,5%,5.00%,moonwell-lending,,Yes,"• Assume 10% of SuperStacks incentives (200K OP) went to Moonwell
• Base was descoped, so the TVL calculation should only include OP Mainnet",0xF9524bfa18C19C3E605FbfE8DFd05C6e967574Aa,https://app.charmverse.io/op-grants/moonwell-core-markets-base-op-mainnet-20600191452523342
Morpho on OP Mainnet: Moonwell Flagship USDC Vault and Isolated Markets,moonwell-fi,Sent,2025-05-01,"40,000","100,000",TVL,OPTIMISM,50%,100.00%,moonwell-vaults,Subset of vaults,No,• TVL calculation should be limited to Moonwell Flagship USDC Vault on OP Mainnet,0x4F56443f075eF5c972A76365606bFBdBD37e146f,https://app.charmverse.io/op-grants/morpho-on-op-mainnet-moonwell-flagship-usdc-vault-and-isolated-markets-8274442712198682
