uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,flag_creator_address_conflict,count_flags,has_flag
403473a1-b2ad-4799-a7bb-834ca0b1f095,403473a1-b2ad-4799-a7bb-834ca0b1f095,0xb22d763fa13fcf6b291fa49284fbc3fc7b089d9bce5e5d2a9219781e7088d1b7,0x5a587244ecf18246e881cda06bac1ece7c0995bb2faf303f967d450f3500afdc,0x0000000000000000000000000000000000000000,1724723573,1001 raisons,approved,kawz,https://warpcast.com/kawz,1001 raisons,https://www.sound.xyz/medmc/releases,Creator,Art NFTs,mintingWallet,0x8f59aa0f586d6d941152b9075b344cdc42e9b024,,All Superchain,True,False,False,False,False,False,1,1
78dd33ce-3031-4ce0-9834-bd1afd0660bc,78dd33ce-3031-4ce0-9834-bd1afd0660bc,,0xfdbf71818035ecce287ed0105d4ba8958f2a728daea6d591cd8cfa74ea521a43,0x0000000000000000000000000000000000000000,1724724745,Aave,approved,kawz,https://warpcast.com/kawz,Aave,https://app.aave.com/,Other Application,Lending,N/A,,,,True,False,True,False,False,False,2,1
03e10979-bb21-4ba3-be3f-7f5fd93dec04,03e10979-bb21-4ba3-be3f-7f5fd93dec04,0x5fcc72ae425c3f214429a95309d392fe1b8c34239acbdf730a72c16436c0f346,0x995e7ef75884e1c36f6b0d9d78ebe09f63be8072bbae1f86acb70ca119d08d8e,0x0000000000000000000000000000000000000000,1725300603,A Green Optimism,pending,kawz,https://warpcast.com/kawz,A Green Optimism,https://zora.co/collect/zora:0xbacb8df1ea84f2d2826bd017996cf5b3e6b59164/1,Creator,Art NFTs,mintingWallet,0x6216525b4107bca9e83fe302605ff2d81fa36992,,All Superchain,True,False,False,False,False,False,1,1
9c5e943f-be18-4fdc-8066-001fc94652ff,9c5e943f-be18-4fdc-8066-001fc94652ff,0xcbda2a0ce9b75a46fcc7b90c87ea4022bcda20553f3d0f62da5872cf58bd66fb,0x3044da3bed9285fe5a60fb8c8d683fef35182b087e08ecfcd764d1542daccfc7,0x0000000000000000000000000000000000000000,1725262029,Alesha OP,pending,kawz,https://warpcast.com/kawz,Alesha OP,https://charmverse.io/lesha,Other Application,Real World Assets,N/A,,,,True,False,True,False,False,False,2,1
1cd2555b-abb4-4c21-bfe6-197890ff8821,1cd2555b-abb4-4c21-bfe6-197890ff8821,0x7b92671220ac2fca9b6215927ffd424da922b372208665993cad869ac8bffddb,0x29aa3bba49915a3b18cee49df7cf47cf9cc1378d920723be65bcb3a4864d1a19,0x0000000000000000000000000000000000000000,1725224503,Amin,pending,kawz,https://warpcast.com/kawz,Amin,www.baavaan.com,Other Application,Art NFTs,N/A,,,,True,True,False,False,False,False,2,1
4262cd00-1c86-4797-abcc-999a771d3b7c,4262cd00-1c86-4797-abcc-999a771d3b7c,0x493ff7d14e0d1d769ef98dafc2d32ded8507c59608f2206ff6454705b725368c,0x9070c57e990256f82224a3f2e4844f523205690ed5b656df54181a6a811f929b,0x0000000000000000000000000000000000000000,1724725481,Andriokey07 ,pending,kawz,https://warpcast.com/kawz,Andriokey07 ,https://charmverse.io/Andriokey07,Other Application,Real World Assets,N/A,,,,True,False,True,False,False,False,2,1
8ff2f29c-3e40-4c35-a492-641df79559f2,8ff2f29c-3e40-4c35-a492-641df79559f2,0x0c04550d259ec4c4d187065daf3cee4605783a9631ace4291ef6d45f8e1bfd8e,0xe8bdf133d5c10258e44faf921e3e53169c08255158111e49e0c713b9d25db0eb,0x0000000000000000000000000000000000000000,1727321095,Animation maker,pending,kawz,https://warpcast.com/kawz,Animation maker,https://animationlogo.art/,Creator,Art NFTs,mintingWallet,0x029f4057f3a615108781ef907f9872a2983b4206,,All Superchain,True,False,False,False,False,False,1,1
32f23d33-081b-401d-a2da-25145036a0f8,32f23d33-081b-401d-a2da-25145036a0f8,0x5378a4483cea447204c7eab9f52b93ef533081cffdadb4bbb72a652b4e9ea8e4,0x8dd08b64f1bf5a4fe0d6150ea86994f7da1d08e4298dff2de2d449a4195abbaf,0x0000000000000000000000000000000000000000,1725422193,Anime Outcasts,pending,kawz,https://warpcast.com/kawz,Anime Outcasts,https://warpcast.com/~/channel/animeoutcasts,Creator,Art NFTs,mintingWallet,0x19d8da2674e8a025154153297ea3ab918debf96d,,All Superchain,True,False,False,False,False,False,1,1
564c6ffc-f42b-41d2-aee7-bf808411c32f,564c6ffc-f42b-41d2-aee7-bf808411c32f,,0xf8a4f14a041de9edea52c6bb4438db83e3628c99995957671b3084b32723b844,0x0000000000000000000000000000000000000000,1724768173,Aragon ,pending,kawz,https://warpcast.com/kawz,Aragon ,https://aragon.org/,Other Application,Other Category,contract,0x1b6632d1357d26055d6452e3b3bebd1c1d982e86,8453.0,Base,True,False,False,False,False,False,1,1
bfaa1c75-7b03-4b76-bdbb-b8a2916bfab9,bfaa1c75-7b03-4b76-bdbb-b8a2916bfab9,0x7abdd02d722287f9dbffc1e1658e3926d04754f1f6be091acc99edf32a853658,0x855b930c39eb78fe9ab6929f03dcab557ba3fed5600cdc87e4bc9539fa790ed5,0x0000000000000000000000000000000000000000,1724724419,Arcadia Finance,pending,kawz,https://warpcast.com/kawz,Arcadia Finance,https://arcadia.finance,App,Lending,contract,0xda14fdd72345c4d2511357214c5b89a919768e59,8453.0,Base,True,False,False,False,False,False,1,1
c958aaa0-0a16-4d06-bf27-73164f1a6356,c958aaa0-0a16-4d06-bf27-73164f1a6356,0xd66dab18661d68b9e48187063a840bfd9c6e781e88303ce4a9aca07d4abbe98f,0x1a6c1bd36432b0037b5c165ff1d76dd9a377cde5f81a71cfc476e7d82c54d37a,0x0000000000000000000000000000000000000000,1725280955,Argys,pending,kawz,https://warpcast.com/kawz,Argys,https://argys.com,Other Application,Other Media Marketplace,N/A,,,,True,False,True,False,False,False,2,1
