uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,flag_creator_address_conflict,count_flags,has_flag
6b39038b-34f3-43dd-a2e4-3fe29471e71a,6b39038b-34f3-43dd-a2e4-3fe29471e71a,,0xd774437712806b09d3eb413ee6851ac790fdce47cb1ac4d0b00226b0782563fd,0x4407AfAc54edC2215dB4252995cCCF7946Ef211B,1734789197,0x1bit,pending,trendy,https://warpcast.com/trendy,0x1bit,https://debank.com/profile/0x4407afac54edc2215db4252995cccf7946ef211b,Creator,Art Marketplace,mintingWallet,0x4407afac54edc2215db4252995cccf7946ef211b,,All Superchain,False,False,True,False,False,False,1,1
89eb0a1c-36f6-4455-af98-c822064425bb,89eb0a1c-36f6-4455-af98-c822064425bb,0xea5bb5ac6f59ef70cb9bd8da5ba114b08055af4901f4b43023c56f8beab0cbf7,0x66076854e0f9ce49078c76ee39e2e9fae61a8526f406961eb85a8bba931d7dab,0xE4EE538019673501F4B75de5aF5CC073Ec0A1487,1724860607,0x,approved,ewokafloka,https://warpcast.com/ewokafloka,0x,https://0x.org/,App,DEX,contract,0xdef1c0ded9bec7f1a1670819833240f027b25eff,8453.0,Base,False,False,False,False,False,False,0,0
403473a1-b2ad-4799-a7bb-834ca0b1f095,403473a1-b2ad-4799-a7bb-834ca0b1f095,0xb22d763fa13fcf6b291fa49284fbc3fc7b089d9bce5e5d2a9219781e7088d1b7,0x5a587244ecf18246e881cda06bac1ece7c0995bb2faf303f967d450f3500afdc,0x0000000000000000000000000000000000000000,1724723573,1001 raisons,approved,kawz,https://warpcast.com/kawz,1001 raisons,https://www.sound.xyz/medmc/releases,Creator,Art NFTs,mintingWallet,0x8f59aa0f586d6d941152b9075b344cdc42e9b024,,All Superchain,True,False,False,False,False,False,1,1
10a38b6d-e432-403b-bd9c-9e0bbbeef72b,10a38b6d-e432-403b-bd9c-9e0bbbeef72b,0xe7c59d9bb01bcbc86161790b06e5bdd14942ab07579bba575f400857d6316234,0xc3d1a57ca75f8416819fd0e7158c85a224a30962ad2070911269f5ad0f80841c,0x258a3790639F0dC736eAF5b8817706417C656a47,1725717115,1BITCUDA,pending,cudaoutofmemory,https://warpcast.com/cudaoutofmemory,1BITCUDA,https://zora.co/@cudaoutofmemory?collection=zora%3A0x56414969a0a2f6462e9f1804c04c6b9e2357cd21,Creator,Art NFTs,mintingWallet,0xd0966b2d8d48e057105afa7a1b84bf1188fb00f0,,All Superchain,False,False,False,False,False,False,0,0
8c12c1a5-d565-4851-abf2-1e22724816b0,8c12c1a5-d565-4851-abf2-1e22724816b0,0x6a5e2e143f1bacf23a95b0e1e306b7b73f29594428b37ed66443a59ecb08d82d,0x9f6404eed4cb04fd2a0513887bb13c0ccc29dc9439cce5b183baf28e82af6110,0x72bA95D9701B0aE496AB4320010a43a764905b1b,1724763747,1 Million Dream,pending,armin,https://warpcast.com/armin,1 Million Dream,https://zora.co/collect/zora:0x97c756b5509b50b264800254bfc18b63ed74ee3a/1,Creator,Art NFTs,mintingWallet,0x72ba95d9701b0ae496ab4320010a43a764905b1b,,All Superchain,False,False,False,False,False,False,0,0
d8db2a21-5843-42a2-96af-378fba391603,d8db2a21-5843-42a2-96af-378fba391603,0x9a94d5ee92f1a5b834079715297af489dfbecd049017a7a34e0223051d075bf0,0x83343ef2cd78008735dd4f7d0de520b8678ee818fac3a485c7dfcd39feb34078,0xFA1aFC4534fc9F80a552e61Dd04CD8A172c821a6,1724762469,2021go in Web3,pending,jaxo,https://warpcast.com/jaxo,2021go in Web3,https://2021go.xyz,Other Application,Other Category,N/A,,,,False,False,True,False,False,False,1,1
d037864b-d216-451a-a46c-cf587766d6ab,d037864b-d216-451a-a46c-cf587766d6ab,0xab5adc08563d571e51427aa20155f44eea6aaf51dcad0936bbfa941e29dff19a,0x04febf678f481608dff4e6c47794f76cb7f7d9dc115c3107981d826422d029b9,0x5de2B5B72A0b49f7D4490a1fEF61Afa8415971F5,1725618177,3d Frogy Wonder,pending,pasbanam,https://warpcast.com/pasbanam,3d Frogy Wonder,https://warpcast.com/pasbanam,Creator,Art NFTs,mintingWallet,0x5de2b5b72a0b49f7d4490a1fef61afa8415971f5,,All Superchain,False,False,False,False,False,False,0,0
6d66053a-3741-4c86-83cd-2b3909c92e8f,6d66053a-3741-4c86-83cd-2b3909c92e8f,0x89044bf985fc4577932131a0ca7a4eddb864dba7b08ca65999477c1f741f4d34,0xb63db82a86fbc5a86bbc7e2254ea1cceda0dbb4eb1bade74ff3b4b14d3b07530,0xcaa77C8c52c7F0a37DB1A663Dd910Ee444dAB441,1724766267,3D Nouns Lego,pending,racikkopi,https://warpcast.com/racikkopi,3D Nouns Lego,https://ai-memecoins.xyz/mimi,Creator,Art NFTs,mintingWallet,0xb1abf1039323f248514594a5ed1aef4f4fc95823,,All Superchain,False,False,False,False,False,False,0,0
a89a0df3-b9af-4bf0-a8b3-c3793c70e2be,a89a0df3-b9af-4bf0-a8b3-c3793c70e2be,0x965d96077ffd7336003fab23717343c473776ed79b33daa4412423583d54be35,0x4e54e363b30e880eecd7d2e81b98ab814cac0960e6e0a2a454ad6e0e63a1e4c9,0x49000B54784C0359A9ed744a5f3505d39043e451,1724768259,4844,pending,blooh,https://warpcast.com/blooh,4844,https://zora.co/collect/zora:0x90cf58c7991e47bfa4a4e8497a751ac0b7f4d1d4/1,Creator,Art NFTs,mintingWallet,0x49000b54784c0359a9ed744a5f3505d39043e451,,All Superchain,False,False,False,False,False,False,0,0
9dbc583f-6672-48cd-9ddc-90d35e1a9474,9dbc583f-6672-48cd-9ddc-90d35e1a9474,0xc48668765a15389cec46fd0184821ed4429ac9a48994e0d18d5b8cfd6fafa478,0xc6ef0dcb93e384cec4e159c7c53e218455eddb16c00d6e12cf525811a4debcf8,0xA89946F00052Bc385B3121b45420316a7cE20E60,1725643215,5050IO,pending,kingsimpa69,https://warpcast.com/kingsimpa69,5050IO,https://50-50.io,App,Donations,contract,0x0ce9a74dc442b8b7dc4b3edd5833cad8ac52afb9,8453.0,Base,False,False,False,False,False,False,0,0
