name,id,bio,contribution,impact,category,github_links_app,github_repos_oso,github_repos_count,fork_count,star_count,first_commit,last_commit,amount
Asia SPWG,0xf9f22dc2367a0a06b984f9dd6289f3b9e5b1e91c1da1c7ef14f8165f759fc11a,"This particular branch of SPWG (see media announcement here, twitter here) has been holding bi-weekly meetings and facilitating overall community communication & cross channel governance engagement since time roughly around Filecoin mainnet launch. In the past 6 months, working group has brought 2 major Filecoin ecosystem participants into governance and group members have been actively participating in FIP discussions and governance as they did in the past, bridging the missing links between core-devs / FF and SPs.","This particular branch of SPWG (see media announcement here, twitter here) has been holding bi-weekly meetings and facilitating overall community communication & cross channel governance engagement since time roughly around Filecoin mainnet launch. In the past 6 months, working group has brought 2 major Filecoin ecosystem participants into governance and group members have been actively participating in FIP discussions and governance as they did in the past, bridging the missing links between core-devs / FF and SPs.

- Contribution in FIP discussion that impacted governance.
- Participation in FIP proposal and editing.
- Participating in governance related Slack threads.
- Brought two major Filecoin ecosystem participants into governance, creating more engagement.
- Bridge between FF and Asia SP community in forms of bi-weekly meetings and more, lubricating communications and increasing overall governance engagement.","- Contribution in FIP discussion that impacted governance. -> impacted FIP decision making process
- Participation in FIP proposal and editing. -> impacted better quality, consideration, completeness of FIP
- Participating in governance related Slack threads. -> impacted daily governance process
- Brought two major Filecoin ecosystem participants into governance, creating more engagement. -> more governance engagement from the community
- Bridge between FF and Asia SP community in forms of bi-weekly meetings and more, lubricating communications and increasing overall governance engagement. -> impacted connection between FF and SP community in Asia",['GOVERNANCE'],['filecoin-project/fips'],['filecoin-project/fips'],1,160,310,2020-09-10 23:17:17.000000 UTC,2024-05-24 22:36:56.000000 UTC,"[1, 4, 2, 1, 5, 5, 1, 3, 3, 0, 6, 5, 12, 1, 16, 3]"
AuralGenius,0x01190adcf707f7b31580d2f600aac61569e4fef1b256da055c1cb650108f1bdf,"AuralGenius is an AI voice note app built on Web3. It can convert the voice messages you record into actionable tasks. Leveraging the powerful programmability, decentralization, and storage capabilities of the Filecoin network, it greatly ensures user privacy and security, while effectively reducing user usage costs.","Our team's vision: 'To make people's lives better using Web3 technology.' Since the inception of AuralGenius in January 2023, until now, a year and four months have passed, and our vision has remained unchanged. Last week, the Bitcoin network experienced its fourth halving, and blockchain technology has undergone 16 years of development. With the efforts of developers and researchers, the infrastructure has become increasingly robust. Ethereum has brought us smart contracts, and Filecoin has brought us secure and affordable storage. However, we have not seen significant development in the application field. AuralGenius hopes to make a breakthrough in the application field.","Since its launch in January 2024, AuralGenius has received over 100,000 website visits and has gained more than 10,000 active users. We aim to help these 10,000 users transition into users of the Filecoin network.","['INFRASTRUCTURE', 'TOOLING', 'COMMUNITY_EDUCATION', 'GOVERNANCE', 'END_USER_EXPERIENCE', 'Other']",[],[],0,0,0,,,"[0, 0, 0, 0, 0, 0, 0]"
Banyan Storage,0xbad5b1ef0e513116a9f4da037fa3b5c9b8e35e744d9de8a45714c0caf205f0b8,"Banyan is a decentralized file storage platform that encrypts your data at the edge and distributes it to the Banyan network of secure storage providers. Our cold storage is hosted on Filecoin, but has the added bonus of Banyan's data maintenance, retrievability and replication, cybersecurity features, SLAs, and our easy-to-use products and clients. Manage your data with ease using our various interoperable clients (including Javascript and Rust BanyanFS SDKs for use in apps), a Dropbox-like web experience for uploads and data management, a CLI for large-scale uploads, and an S3 API. Finally, you can view cryptographic proofs of storage on your data, audit its cryptographically-signed edit history, and securely collaborate on it with others.","We built a platform that not only makes onboarding to Filecoin easy for both the user and the SP, but also one that supports data workflows and requirements of users who typically use solutions like DropBox. This enables us to bring new users, like those in Web2 enterprise who are willing/able to pay for storage into the Filecoin ecosystem. We open-sourced our unique file system called BanyanFS, which is crucial for making decentralized storage work as well as maintain high standards of reliability and compliance required by enterprise customers.","We have 30+ active conversations/LOI to onboard interested parties to Filecoin through backend integrations or direct storage. Having just launched recently, we're in the early stages of building these out. We've provided a stable fiat revenue source for three SPs who are providing capacity to our platform and will be expanding that as we increase our footprint. We created a reseller program with whitelabel functionality for SPs who want to sell a complete storage solution to their customers and store on their own infrastructure. We also have an affiliate program with incentives to encourage others to bring more data onto the network and earn income. ",['RESEARCH_AND_DEVELOPMENT'],['banyancomputer/banyanfs'],['banyancomputer/banyanfs'],1,0,8,2024-03-19 15:29:28.000000 UTC,2024-05-16 14:29:30.000000 UTC,"[2, 2, 0, 4, 2, 4, 0, 6, 0, 3, 1, 4, 6, 2, 1, 3]"
Beryx,0xf9b123ffd4b691b96b8962a81bcbb687deccd2442b3e7a5a09413ad0dadc19d5,"Beryx, created by Zondax, is a dynamic web platform designed for developers working with blockchain technologies, particularly focusing on the Filecoin blockchain. It offers a suite of tools that enable easy and reliable access to public historical data, real-time streaming information, RPC access, faucet and detailed metrics essential for developing web3 applications.

Beryx is the go-to resource for learning about Filecoin, interacting with smart contracts, decoding ABIs, and understanding and monitoring network activity.","Beryx has been at the forefront of supporting recent network upgrades for Filecoin, establishing itself as one of the earliest block explorers to fully support the Filecoin Virtual Machine and the decoding of smart contracts. Over time, the toolset has expanded significantly, now offering free public RPC endpoints for both Calibration (testnet) and Mainnet. Beryx also provides a faucet, an API, and a variety of essential tools designed to enhance the development experience for blockchain developers.","Zondax has been a pioneer in dealing with big amounts of Blockchain data and an early Filecoin contributor.  While the focus has always been in providing a reliable source of data, with the development and launch of Beryx, Zondax has not only made this data more accessible but has also empowered and mentored developers, encouraging them to join the Filecoin Builders community.

Zondax is also a Regional Filecoin Orbit in LATAM lead and has organized events and initiatives that help build and strengthen the Filecoin blockchain community.

Community Feedback: 

Thanks @fvmdev , @_beryx_ and @tableland for making DatAgent DAO a success . Was great working this month in #hackfs with different new stacks and great mentors, learnt a lot of new things and looking forward to keep goinggg
 
I'm extremely emotional and happy, thank you @ETHGlobal for organizing this hackathon, and thank you so much @SpheronHQ for the inspiration and for being there answering all my many question, and for building cool tools, and thank you a lot @_beryx_ and @tableland, love you all

We have integrated @_beryx_ of @_zondax_ so as to get on-chain status of proposals getting made in DAO and track them easily.  Thanks to @_beryx_ team for helping integrating the api. 

Im super proud by the project i made during @ETHGlobal's  #hackfs 2023 , it was super exciting and i built my project using @SpheronHQ's storage api, @filecoin's fvm, @_beryx_  's api  by @_zondax_   , and @tableland  URL

check out my HackFS 2023 submission, DAOlingo:  a DataDao for accessibility of high quality data about rare and dying languages! https://ethglobal.com/showcase/daolingo-fd6uw… @_zondax_ @_beryx_  @FilecoinTools @LighthouseWeb3  @polybase_xyz @Filecoin URL ",['INFRASTRUCTURE'],"['zondax', 'zondax/web-beryx-explorer']","['zondax/filecoin-signing-tools', 'zondax/filecoin-solidity', 'zondax/fvm-as-sdk', 'zondax/ledger-arweave', 'zondax/ledger-cosmos', 'zondax/ledger-cosmos-js', 'zondax/ledger-filecoin', 'zondax/ledger-go', 'zondax/ledger-icp', 'zondax/ledger-kusama', 'zondax/ledger-polkadot', 'zondax/ledger-rs', 'zondax/ledger-stacks', 'zondax/ledger-substrate-js', 'zondax/ledger-zcash', 'zondax/namadexer', 'zondax/zemu']",17,438,590,2018-07-29 13:33:04.000000 UTC,2024-05-24 13:12:54.000000 UTC,"[3, 2, 10, 2, 3, 6, 3, 1, 2, 5, 6, 8, 10, 3, 3, 4]"
BlockScience,0xe005bfa9d9494de9433a92c1946a7e49fda5bd15bf9bf1b8e44c45caeac88aed,"BlockScience is a complex systems engineering, research and development, and analytics firm focused on the development and governance of safe, ethical, and resilient socio-technical systems. Sourcing insight and expertise on technology, economics, and governance from a diverse, interdisciplinary, and international community of scientists and engineers, we provide services to a wide range of clients, including for-profit, non-profit, academic, and government organizations, and contribute to open-source projects and academic literature. We have done extensive research and contributed to a wide variety of projects related to model-based systems engineering, artificial intelligence and machine learning, operations research, market design, network science, distributed systems, and modeling and simulation. We bring unique value to our client projects and research contributions by leveraging insights from our partner communities of practice and focusing on reliable engineering in spaces dominated by disruptive technologies.

Our team actively engages in open-source research and development to drive innovation and transparency in technology, contributing to the advancement of public blockchain networks, reinforcing our commitment to open, accessible, and secure digital infrastructures.
","In the midst of the FIP0056 governance debates, the timely and accurate analysis from our research team played a pivotal role in providing an accurate analysis to evaluate claims being made about the proposed cryptoeconomic sector multiplier mechanism and to inform relevant stakeholders and the broader Filecoin community to navigate towards a resolution and prevent misinformation or misunderstandings. This includes:

-Reviewing the FIP-0056 and CDM debate (https://medium.com/block-science/reviewing-the-fip-0056-and-cdm-debate-on-filecoin-6a6af0ed4b78), as cited in governance forum discussions: a timely, scientific analysis at the height of the FIP-0056 and CDM governance debate, presented in the form of a blog post, to dispel misinformation and inform the community to be able to meaningfully participate in discussions, towards a viable path forward. This post received very positive feedback from the community and has been referenced in governance forum posts since. 

-Past work on educating about Termination Fee, as per ""Exploring the Filecoin Termination Fee"" (https://medium.com/block-science/exploring-the-filecoin-termination-fee-9351fd40340e - April 2023) was directly relevant to the governance discussions on the Termination Penalty (#691, #712 and #724 May to July 2023), which then evolved to the discussions related to improving Storage Reliability on Filecoin (#843, October 2023)

-Work on articulating and educating on the inner workings of the Baseline Minting and Consensus Pledge was important for the governance discussions on FIP-0081 (#847, Oct-Dec 2023), as per ""A cadCAD Interactive Calculator to Explore Minting Scenarios in Filecoin"" (https://medium.com/block-science/a-cadcad-interactive-calculator-to-explore-minting-scenarios-in-filecoin-284009a2e941 - Mar 2022).","These contributions to Filecoin governance were informed by years of dedicated research, analysis, and development, as well as a strong commitment to innovation, stability, and progress in Filecoin as a critical component of the digital commons. The open nature of outputs creates public goods artifacts that are seminal to informed and engaged collective governance of Filecoin network.

This analysis and tooling has had a positive impact on Filecoin governance in the past six months, for example: 

* Governance Research plus the FIP-0056 debate conclusions was a relevant driver for the FIP0001v2 Initiative (#799) (August 2023 and currently ongoing) its consequent PR for updating the FIP-0001 (October 2023 and currently ongoing) which is an WIP item that has the potential for solving some community demands in terms of further governance scheme improvements, as per the #945 conversation initiated by the Asia SP-WG in February 2024.

* Some of the salient points that were made clear on the FIP-0056 are still ongoing, as made evident by the discussion around the Quality Multiplier, such as: Discussion on sunsetting FIL+ (#774, FIP-0080, Aug-Oct 2023),
""Reasons and Suggestions for Increasing the Quality Multiplier of Filecoin Networks"" (#833, Sep-Nov 2023)

* Discussions on the general Filecoin Protocol Architecture in terms of its Master Plan (discussion #725, June to July 2023), as made evident by the citation of the FIP-0056 debate article for its summarized description of the Filecoin Economy.",['GOVERNANCE'],"['blockscience/filecoin-consensus-pledge-demo', 'filecoin-project/fips', 'blockscience/filecoin-sdm-cdm-notebooks']",['filecoin-project/fips'],1,160,310,2020-09-10 23:17:17.000000 UTC,2024-05-24 22:36:56.000000 UTC,"[5, 2, 1, 0, 3, 4, 2, 5, 5, 2]"
Boost,0x0c8d608b5440a069fd453703298ecc126c4f01cf520d45e6f9f167b14a60a257,Boost is a Filecoin Market implementation for Storage Providers to manage data onboarding and retrieval on the Filecoin network.,"Boost has significantly transformed the landscape for storage providers on the Filecoin network by decoupling the Filecoin market protocol from the sealing software stack. This has allowed storage providers to manage data onboarding and retrieval more efficiently and flexibly.

1. New deal making protocol focused on using HTTP data transfer protocol for deal data transfer to replace the existing Graphsync protocol.

2. Booster-HTTP: This component operates as a HTTP gateway within the Boost setup. It facilitates the retrieval of data through HTTP protocols, enhancing the flexibility and accessibility for retrieving stored files. Notably, recent updates have moved towards a trustless gateway system, named Frisbii, which does not support the previous unixfs file format. Instead, users needing to handle unixfs formatted files are advised to run an additional binary known as bifrost-gateway. This shift ensures retrieval verifiability by default, aiming to boost the security and reliability of data transactions​​.

3. Booster-Bitswap: This component uses the Bitswap protocol, a block exchange protocol native to IPFS (InterPlanetary File System). It plays a crucial role in connecting IPFS network with Filecoin network by allowing IPFS nodes to directly fetch the data from Filecoin network.

4. IPNI integration: Boost is the original data source for IPNI protocol. It allows SP to publish the list of CIDs they hold and retrieval mechanism which can be used to retrieve the data.
","Adoption and Network Growth: The Boost project has significantly impacted the Filecoin network by facilitating over 5500PiB of 
 peak Quality-Adjusted Power (QAP). This demonstrates substantial growth in storage capacity and effectiveness, ensuring that Filecoin's network becomes more robust and capable of handling large-scale data storage needs.

Enhanced Data Retrieval Capabilities: Boost has revolutionized the way data is retrieved from the Filecoin network by enabling the retrieval network to fetch data using various data transfer protocols. This flexibility allows for more efficient data handling and access, catering to a wider range of use cases and enhancing user experience.

New mk1.2.x Protocol: The introduction of the new mk1.2.x protocol as part of Boost’s framework has brought significant improvements in deal data transfer. These improvements enhanced the overall deal making experience for storage provider and client alike for the online deals.
",['TOOLING'],['filecoin-project/boost'],['filecoin-project/boost'],1,61,107,2021-11-03 07:31:35.000000 UTC,2024-05-07 15:25:55.000000 UTC,"[1, 8, 10, 0, 2, 1, 2, 5, 3, 1, 5, 3, 1, 3]"
B<>rder/ess Developers Programme,0x8168c0368b1d4e32fec90360b0ae151530e134ee715bdeb089465cc1b7b63eb5,"B<>rder/ess is the Tech Not-For-Profit arm of Crypto Smart, aimed at raising 100 web3 developers skilled in Solidity, Rust, Cairo, Tealscript, and web2 tech-skilled young people from the University communities annually for free, to build Web3 products.

We do this by establishing physical hubs, hosting events, providing training, offering mentorship, establishing Campus Tech Clubs, and launching tech projects.","Contributions from October 2023 - April 2023

EDUCATION & OUTREACH 
📗B<>rder/ess has onboarded 44 University Students to learn Solidity in the last 3 Cipher Sessions and introduced them to FVM and Filecoin.

⏳We had a cumulative of 130 hours in class sessions.

🏠Opened a physical infrastructure, the B<>rder/ess web3 Hub, and supported the File Coin community developers to host their meet-ups, and use the B<>rder/ess hub facilities at any time, for hacker house activities, hackathons, events, Dev collab sessions and more.

👨🏽‍👩🏽‍👧🏽‍👦🏽Held a Web3 Event and Filecoin Showcase, which is the B<>rder/ess 2.0 event that had 1,750+ attendance in 9 locations (1 City + 8 Universities) and Filecoin had a booth stand, to onboard attendees and presentation sessions.

PRODUCTS & END USER UX
🤓We got our solidity students to Hack and Build on Filecoin, they're in the Filecoin Hackathon on Dorahacks and are building a food/organic marketplace solution that utilizes Filecoins IPFS to create online shops as NFTS.

TOOLING & UTILITIES
💻We organized BYTE 11:23 Hackathon for our students to build using Solidity, and for Data Analysts and Cyber Security students to build using Solidity and deploy products onchain.","Impact Description from October 2023 - April 2023

IMPACT IN EDUCATION AND OUTREACH
👩🏽‍💻👨🏽‍💻44 Developers Reached
🏠1 Physical Structure for a hub established
💻12 Developers Building 

Impact on Developer Awareness:
Onboarded 44 university students to learn Solidity, introducing them to Filecoin and FVM through 3 Cipher Sessions (totaling 130 hours). This directly contributes to the growth of the Filecoin developer community.

Impact on Community Building:
Established a physical ""B<>rder/ess web3 Hub"" to support Filecoin community developers. This space facilitates meetups, hackathons, workshops, and collaboration sessions, fostering a vibrant Filecoin ecosystem.

Impact on User Acquisition:
Organized the ""B<>rder/ess 2.0"" Web3 Event and Filecoin Showcase, attracting over 1,750 attendees across 9 locations (1 city + 8 universities). Filecoin's presentation on stage and booth presence helped onboard new users and raise awareness.

PRODUCT & END USER UX

Encouraged dApp Development: Empowered students to build on Filecoin by integrating Filecoin and IPFS into their food/organic marketplace dApp solution for the Dorahacks Filecoin Hackathon. This showcases the potential of Filecoin for real-world applications.


TOOLING & UTILITIES
 Organized the ""BYTE 11:23 Hackathon"" to introduce students (Solidity developers, data analysts, cybersecurity specialists) to on-chain development using Solidity and Filecoin deployment. This broadens the range of professionals using Filecoin technology.


B<>RDER/ESS OVERALL IMPACT
Our contributions demonstrably support Filecoin's growth by:

📍Expanding the developer base through education and hands-on experience.
📍Fostering a collaborative community through the web3 Hub.
📍Raising awareness and attracting new users through events and showcases.
📍Encouraging the development of Filecoin-based applications.
📍Introducing a wider range of professionals to the potential of Filecoin.

This is how our initiatives have effectively contributed to a more robust and thriving Filecoin ecosystem.
","['TOOLING', 'END_USER_EXPERIENCE', 'COMMUNITY_EDUCATION']",['karlagod/mamashay'],[],0,0,0,,,"[1, 2, 0, 0, 2, 0, 1, 0]"
Chain Base Tools,0x6aa947459da0486a7e75a487dae3aa3fca563eb4c6f194fd469a2c637fd91734,"The project aims to implement a cold-hot wallet separation system and a chain analysis platform.
Cold-Hot Wallet Separation: The project involves the development of a cold wallet and a hot wallet. The hot wallet will manage user transaction data and support multiple address types. It will assist storage providers in managing owner and worker addresses. The system will provide a mobile app and a Chrome plugin for users to register and access the wallets across multiple platforms. The cold wallet will handle private key management with strict security measures. The app will have limited system permissions, no internet access, and transactions will require PIN code signatures. It will also provide message signing for the hot wallet.
Chain Analysis Platform: The project will also establish a chain analysis platform. This platform will offer various analytical services such as address monitoring, monitoring of large transactions, and transaction traceability.
","The project contributes to the management of FIL assets for users by providing a transaction window and enhancing interaction with the blockchain.
The development of the chain analysis platform contributes to helping users gain real-time insights into the transaction activities of relevant addresses.
","The implementation of the cold-hot wallet separation system enhances the security and management of user assets. It provides a convenient and secure platform for users to interact with the blockchain, thus increasing user confidence in managing their FIL assets.
The chain analysis platform empowers users by providing them with valuable insights into the transaction activities associated with specific addresses. This helps users gain a better understanding of the blockchain ecosystem, identify potential risks, and make informed decisions.
Overall, the project aims to improve the security, usability, and transparency of managing FIL assets while providing valuable analysis tools for users to monitor and understand blockchain transactions.",['TOOLING'],"['vxblocks/filecoin-explorer', 'vxblocks/filecoin-chrome-plugin', 'vxblocks/filecoin-rust-sign-wasm']",[],0,0,0,,,"[0, 0, 2, 0, 0]"
Chainnode,0xb6cd5a5c89fbd23970a24d39d997d00e5254bb6f4039d4cd4bd5d18d754d7890,"Chainnode has functioned as an efficient blockchain snapshots-as-a-service provider, ensuring swift downloads of the most up-to-date node snapshots for multiple blockchains, including Filecoin, APTOS, Polygon, Pocket, Avalanche, OP, SUI, Arb, etc. Node operators can directly obtain snapshots from Chainnode to set up nodes, and these node data are stored on the Filecoin network. ","Chainnode has stored many chain's snapshots (Filecoin, APTOS, Polygon, Pocket, Avalanche, OP, SUI, and Arb) on the filecoin network. It includes: 

 - 750+ blockchain snapshots
 - 400 TiB blockchain snapshots
 - 180k unique CIDs
 - 12K CAR files
"," - Chainnode has completed the backup of snapshot data for 8 public chains, ensuring continuous backup of on-chain data to the Filecoin network, effectively realizing the true data storage of Filecoin.
 - Any chain node operator, including Filecoin nodes, can freely download the latest snapshot of the chain at any time, speeding up the node start-up process.
 - Chainnode has successfully assisted community users in rebuilding Filecoin nodes in cases where chain synchronization encountered issues.","['TOOLING', 'INFRASTRUCTURE']",[],[],0,0,0,,,"[5, 2, 3, 4, 1, 1, 4, 4, 1]"
Damocles,0xc83b626dc947832889b19879042a25b234a10835b1ab18073a9682e81a711962,"Damocles is the storage power management solution of Filecoin stack.

- Revamped Job Scheduling: Reimagined task scheduling where a manager passively listen to the sealing progress of workers, which ultimately results in up to 50% increase of sealing efficiency
- Private SaaS: Through Damocles' original architecture and broad selection of configurations, SPs can quickly organize a pool of workers into effectively a private SaaS (sealing-as-a-service) that can be used to seal for multiple miner_ids at the same time
- Optimized Snapdeal: SP can batch import existing CC sectors as local candidate sectors. As storage deals come in, workers would go and grab candidate sectors by themselves and snap deal onto those candidate sectors minimizing manual intervention","- Damocles reimagined how sealing pipeline is setup & configured, introduced an innovative architecture for managing computing resources & storage nodes, and was the first SP stack that enables Sealing as a Service (SaaS) type of workflow.
- Damocles' design that allows either PoRep worker & PoST worker to service multiple storage nodes (miner_id) has left critical impact on the way SP operates and later iterations of other miner implementation. This feature along with many other ones are vastly popular among SPs to cut down OPex and to gain maximum utilization from hardwares.
- Damocles is the first to incorporate Supranational proof into production storage providing systems, which allows SPs to enjoy a massive speed boost in computing proofs for P2, C2, snapdeal and windowPost. The lightning fast proof integration enabled by - - Damocles' unique architecture grants many SPs a stellar edge in their storage providing business.
Based on the constructive feedbacks and close engagement with SPs, external processor, configuration manager, windowPost execution and Lotus compatibility manager of Damocles have been refactored and improved on to offer an outstanding user experience for SPs to reduce their operation overhead in managing storage power for Filecoin network.","- Greatly increased speed of SPs sealing pipeline and proving capability
- Greatly increased utilization / efficiency of SPs sealing pipeline and proving configuration
- Increased UX experiences for SPs, much less operation overhead
- Increased network security for client diversity  
- Lowering network wide SP OPex and CAPex
- Complete customization capability for SPs to manage its own task / jobs",['INFRASTRUCTURE'],['ipfs-force-community/damocles'],['ipfs-force-community/damocles'],1,22,21,2022-03-08 09:53:32.000000 UTC,2024-05-07 05:32:35.000000 UTC,"[1, 2, 5, 2, 3, 4, 1, 0, 4, 4, 3]"
