,Project,To,DAI,oso_slug
0,Giveth,0x4d9339dd97db55e3b9bcbe65de39ff9c04d1c2cd,18186,giveth
1,DeFi Library,0x4e3d9399c28c724293dd545225ec843ac4c9e953,14373,
2,ethers.js,0x643aa0a61eadcc9cc202d1915d942d35d005400c,11801,ethers-io
3,Metagame,0xb53b0255895c4f9e3a185e484e5b674bccfbc076,11287,metagame-metafam
4,Rotki,0x9531c059098e3d194ff87febb587ab07b30b1306,10863,rotki
5,eth.limo,0xb352bb4e2a4f27683435f153a259f1b207218b1b,10530,eth-limo
6,GoodDollar,0xc9d09ba972b4eb6bb7347f2229fb6d50434ffca6,9199,gooddollar
7,L2 Planet,0x2d9d84f4d8a4254ea23fe18825193cbd1b21b749,9078,l2planet
8,GasHawk,0x44f00c29a0b8514d017ac20fbdb0aa5078b860ce,8654,gashawk-corpus-io
9,LauNaMu,0xa565ea02caef7d1b6b5b919f3fcf829647ed50dd,7898,
10,Otterscan,0x43a0744e8a1a63c481aadd5cea12833d6976f851,7716,otterscan
11,Kali,0x5b97571b850a292d242d4957359c53c36701280f,7656,lexdao
12,Kevlar,0x1937d2fd3dafa2ca090682e37c037047d2f06c55,6808,lightclients
13,Bspeak!,0x7853eabb6cfa980ebfd27e3f77e69590ea53c0b7,6808,
14,Metagov,0xd39d6d3f7433a0cabd90c0ea74d76da29b718314,6112,metagov
15,Hudson Jameson,0x80d63799b1e08a80f73fb7a83264b5c31600bf3a,6022,
16,Praise,0x0b7246ef74ca7b37fdc3d15be4f0b49876622f95,5326,givepraise
17,Bankless Africa,0xca27c5813c314586434512ab139cad96f6b71750,4690,bankless-africa
18,Solady,0x1f5d295778796a8b9f29600a585ab73d452acb1c,4690,solady-vectorized
19,Ethereum Attestation Service (EAS),0x1702fc183e6ad12138cf768dae7717bd48c3a48e,4539,ethereum-attestation-service
20,DAOstar,0xff2abef3af9655d96da983916e066134adea6390,4327,metagov
21,Umbra,0x5c04e7808455ee0e22c2773328c151d0dd79dc62,4206,scope-lift
22,Travis Wyche,0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,4145,
23,Natalie Crue,0xca85460d23bfb2e0079bab5aac84921d9d0762a4,3752,
24,Public Assembly,0x368b87eab8f92737deb64bea7fcf1bd0e4b16aa4,3328,public-assembly
25,Paul Berg,0x0298f4332e3857631385b39766325058a93e249f,3298,sablier
26,Other Internet,0x7ecc1d4936a973ec3b153c0c713e0f71c59abf53,3117,
27,Zargham - cadCAD,0xdf290293c4a4d6ebe38fd7085d7721041f927e0a,3056,
28,SourceCred,0xf6ce0526e8ee666441b7f5f0ebb78704f4c09746,3056,sourcecred
29,Gardens,0x809c9f8dd8ca93a41c3adca4972fa234c28f7714,3026,1hive
30,Cripto Curiosas,0x09479f367332f8f54e38e6415f3892b10bd7bb64,2693,
31,Anticapture - Spencer Graham,0x15c6ac4cf1b5e49c44332fb0a1043ccab19db80a,2663,
32,L3GENDARY DAO,0xdf950b945a70d34bb3ff47075b744116b526b193,2633,
33,RnDAO,0x4a62ec005ad047ffe3ab7828f050ad531dc86891,2481,rndao
34,Web3bridge,0xc34ad4a95adcd9021182fd5607ed822db738e7c4,2239,
35,Spect,0xf1b05f78940d774aabfb6fcae1ec883d04036ab7,2179,spect-ai
36,LaloCripto,0x4d88535301f606c534531415b8a7b3c5675c1fa3,2179,
37,MedDAO,0x7568b4c67145594d8c3a04c88308aa26186d2896,1906,
38,Carlos Melgar,0xefedaf9c07e6eb56bb8f82f30018e4461b1c5f4c,1876,
39,Ariiellus,0x6d465d2081b799770d0ce7e755d8db1665903ffb,1816,
40,JournoDAO,0xec8e47e050a122970cbb4baf44413f3f070b543d,1785,journodao
41,Urbanika,0x0442a9abbc93058a873c371f21cc366338254a88,1725,urbanika
42,Jeffrey Koury - ResearchHub,0x29e46015ccfe13cfe8dc96d75760a6290df311ee,1695,
43,Traditional Dream Factory,0x9151e20ec7f2d89d78c92b9edd86dfafb664e985,1664,
44,Dr. Paul Dylan-Ennis,0xcea49b9e29c46ec2ea805329dd3e546af7f283eb,1634,
45,Kyle Smith from LexDAO,0x0d89421d6eec0a4385f95f410732186a2ab45077,1483,
46,Salman Needs a Job,0x4df83971f6f1bfd8d33a2e79584bdfde75f4df60,1452,
47,International Media Nodes (IMN),0x09ca8b48a2b4d468dac43806751e2e3a1fc08a31,1422,
48,Kelsie Nabben,0x0e60a1d55337179904f99052f27d5f203dfcd009,1331,
49,CryptoStats,0x69aa21403244889832609963b0028e337a834953,1271,crypto-stats
50,Blacksmith,0xa380339b85f7f4ba5d5640bcf2c75fdcb4d4cdfa,908,
51,Kredeum NFTs Factory,0xbc0b437c95c7165f7d1f7c966cb2227da52a27d7,817,kredeum
52,CryptoConexión,0xc4d286963cded90e479f82495d75b739e1d831b1,787,
53,Coalition of Automated Legal Applications (COALA),0xe17523edaec99138335a4dcde1d2b3d59df15453,605,
54,Hidayath - 1W3,0x8da48e5846c06b558970acd42edc7da8799481e4,484,
55,Pact Collective,0xcfbd9f6e88dcf93a7c409756013b342858c30a31,393,
56,Seth Benton,0x4b7c0da1c299ce824f55a0190efb13663442fa2c,333,
