General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),Gas Fees,Gas Fees,Gas Fees,Gas Fees,Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted)
Project Name,Round,Cycle,Grant Status,Grant Amount,Grant Recieved (to date)?,Date Funds Recieved,Balance Left (to date),Date Range,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted,Percent Change,Test Statistic,P Value,P Value Formatted
Renzo Optimism Season 6 Mission Request - Optimism as base for LRTs,Grants Season 6,Cycle 25,Sent,120000,True,2024-11-14 00:00:00,0,2024-08-15 - 2025-02-10,-0.344,3.6319,0.00040136546667057793,0.0004,-0.1336,2.0595,0.04133529793529367,0.0413,-0.3203,3.485,0.0006581556341436201,0.0007,-0.2043,3.3325,0.0010930987019104332,0.0011,-0.6006,4.8857,4.143428440572805e-06,4.14e-06,-0.3038,5.6147,7.551384051396326e-08,7.55e-08,,,,nan,,,,nan,,-1.7521,0.08324437846265176,0.0832,,-1.7521,0.08324437846265176,0.0832,0.1524,-2.3717,0.01961741585486787,0.0196,-0.7344,6.535,3.61072349797098e-09,3.61e-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.8584,4.6755,9.406431302760865e-06,9.41e-06,-0.859,15.0307,0.0,0.00e+00
Fraxtal Application,Grants Season 6,Cycle 26,Sent,900000,False,2024-09-01 00:00:00,900000,2024-06-02 - 2025-02-10,-0.4462,3.5033,0.0006721898075543464,0.0007,-0.5171,10.2355,0.0,0.00e+00,-0.4473,3.3621,0.0010663867031768248,0.0011,-0.2122,3.1614,0.0017652183842318259,0.0018,-0.8517,5.408,5.080270004675924e-07,5.08e-07,-0.7661,18.5341,0.0,0.00e+00,-0.2275,2.2602,0.024670863262712395,0.0247,-0.0,0.0005,0.9995894602921263,0.9996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.314,12.7382,0.0,0.00e+00,36.4706,-33.1752,0.0,0.00e+00,0.6703,-6.9193,3.821321037378311e-11,3.82e-11,0.7102,-10.0594,0.0,0.00e+00,0.653,-4.9448,1.4118011228969607e-06,1.41e-06,0.7103,-6.5435,5.828504345828378e-10,5.83e-10,-0.4006,3.9065,0.0001536141282678649,0.0002,-0.3546,6.9327,3.019873240361903e-11,3.02e-11
WannaBet Weekly Tournaments,Grants Season 6,Cycle 25,Sent,35000,False,2024-09-01 00:00:00,35000,2024-08-30 - 2025-02-11,-0.8171,0.8158,0.5636661634240001,0.5637,,,,nan,-0.8537,0.8528,0.550012897405399,0.5500,,,,nan,-0.9878,0.9877,0.503890287170567,0.5039,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.3527,-1.7159,0.08847771110884528,0.0885,,,,nan
Ether.fi OP Mainnet LRT Grant,Grants Season 6,Cycle 25,Sent,96000,False,2024-09-01 00:00:00,96000,2024-06-03 - 2025-02-11,-0.2351,0.9267,0.3563792193759383,0.3564,0.9773,-6.7501,1.8602475115869765e-10,1.86e-10,-0.2918,1.062,0.29092309183830745,0.2909,1.1643,-7.3296,7.834177750964955e-12,7.83e-12,-0.5031,1.6471,0.102871249593808,0.1029,0.4469,-3.0189,0.00291843032623218,0.0029,0.7688,-1.5121,0.13176728735349275,0.1318,371.8182,-5.2944,3.812127165048196e-07,3.81e-07,2.2319,-7.3896,2.1755930390554568e-12,2.18e-12,18.0668,-12.827,0.0,0.00e+00,0.084,-2.3048,0.022285403528603975,0.0223,-1.0,2.4313,0.016133579141986765,0.0161,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.8597,3.186,0.0019132165566506654,0.0019,-0.86,11.1755,0.0,0.00e+00
Expanding restaking on Optimism,Grants Season 6,Cycle 25,Sent,120000,False,2024-09-01 00:00:00,120000,2024-06-01 - 2025-02-11,-0.538,1.5083,0.13388594118470687,0.1339,0.0337,-0.0995,0.9208802795321256,0.9209,-0.439,1.3647,0.17354345035079932,0.1735,-0.0462,0.1562,0.8760631291966592,0.8761,-1.0,1.0,0.3199622084762226,0.3200,-1.0,8.8243,1.5543122344752192e-15,1.55e-15,,,,nan,,,,nan,,,,nan,,,,nan,-0.0329,0.6579,0.5112798598004837,0.5113,4.994,-17.412,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.7905,2.0702,0.040635937645745246,0.0406,15.8,-1.4658,0.1445927145050283,0.1446
FrameHack #2,Grants Season 6,Cycle 25,Sent,2000,False,2024-09-01 00:00:00,2000,2024-06-01 - 2025-02-11,-0.6664,9.6844,2.220446049250313e-16,2.22e-16,-0.5448,15.1236,0.0,0.00e+00,-0.023,0.4852,0.6279828890736572,0.6280,0.0852,-2.4262,0.015799734564878376,0.0158,-0.8787,3.2011,0.001870899758219302,0.0019,-0.5533,4.5335,1.0133918139976217e-05,1.01e-05,-0.7635,12.3115,0.0,0.00e+00,-0.648,23.3283,0.0,0.00e+00,0.5157,-6.663,1.6658874280039981e-10,1.67e-10,0.7607,-9.9634,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9776,7.5359,3.453237695794087e-11,3.45e-11,-0.9651,23.7058,0.0,0.00e+00
Optimism GovQuests,Grants Season 6,Cycle 25,Sent,5000,False,2024-09-01 00:00:00,5000,2024-06-05 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,0.0944,-0.0745,0.9406525837854383,0.9407,-0.0433,0.0601,0.9521247439380911,0.9521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Event Horizon Public Access Voter Pool,Grants Season 6,Cycle 26,Sent,15000,False,2024-09-01 00:00:00,15000,2024-06-21 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,-1.0,1.0,0.3207065180409341,0.3207,-1.0,14.9938,0.0,0.00e+00,,,,nan,,,,nan,,1.0,0.31879271169654166,0.3188,,1.0,0.31879271169654166,0.3188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Aragon <> RISC Zero - Joint partnership on crosschain voting,Grants Season 6,Cycle 26,Sent,1250,False,2024-09-01 00:00:00,1250,2024-09-19 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Boosting LRT adoption with Compound Finance,Grants Season 6,Cycle 26,Sent,120000,False,2024-09-01 00:00:00,120000,2024-06-14 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,-0.1329,0.2447,0.8069018787549409,0.8069,13.2594,-2.8606,0.004782132345794832,0.0048,-0.2352,6.6498,2.773390406218823e-10,2.77e-10,3.5478,-17.7023,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
TLX - Leveraged Tokens Protocol,Grants Season 6,Cycle 28,Passed,100000,False,2024-09-01 00:00:00,100000,2024-06-01 - 2025-02-11,,-2.7682,0.006290003139985734,0.0063,,-2.7682,0.006290003139985734,0.0063,,-2.8912,0.0043614793383790484,0.0044,,-2.8912,0.0043614793383790484,0.0044,,-1.0,0.31879271169654166,0.3188,,-1.0,0.31879271169654166,0.3188,,,,nan,,,,nan,,,,nan,,,,nan,-0.6357,9.0199,6.8833827526759706e-15,6.88e-15,1.1522,-8.8265,8.881784197001252e-16,8.88e-16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-2.3879,0.018089898939922522,0.0181,,-2.3879,0.018089898939922522,0.0181
OETH on OP (2 of 3),Grants Season 6,Cycle 26,Passed,29978,False,2024-09-01 00:00:00,29978,2024-03-20 - 2025-02-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0508,1.222,0.22317152181018685,0.2232,2.1369,-15.2409,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Extra Finance S6 Mission Application,Grants Season 6,Cycle 26,Sent,136000,False,2024-09-01 00:00:00,136000,2024-06-01 - 2025-02-11,-0.9425,4.6308,1.1358194836885716e-05,1.14e-05,-0.9136,12.7043,0.0,0.00e+00,-0.9409,4.5851,1.3570478442526124e-05,1.36e-05,-0.9141,14.2951,0.0,0.00e+00,-0.942,4.3278,3.6183762050612245e-05,3.62e-05,-0.8641,7.5684,7.489564524121306e-13,7.49e-13,,,,nan,,,,nan,3.6595,-7.6277,1.7243984018477931e-12,1.72e-12,4.7318,-8.0602,1.5187850976872141e-13,1.52e-13,0.0964,-2.966,0.003378440995388754,0.0034,0.3484,-7.5721,4.802824804528427e-13,4.80e-13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9991,4.268,4.8265521796819755e-05,4.83e-05,-1.001,-5.0139,1.3873435493749753e-06,1.39e-06
Let's Get HAI,Grants Season 6,Cycle 26,Sent,115000,False,2024-09-01 00:00:00,115000,2024-06-01 - 2025-02-11,,-2.3658,0.01916607377683044,0.0192,,-2.3658,0.01916607377683044,0.0192,,-2.3658,0.01916607377683044,0.0192,,-2.3658,0.01916607377683044,0.0192,,-1.4186,0.15793309652976784,0.1579,,-1.4186,0.15793309652976784,0.1579,,,,nan,,,,nan,,,,nan,,,,nan,-0.1783,5.2747,2.8484713165966014e-07,2.85e-07,0.2784,-5.5272,7.486239050891186e-08,7.49e-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.576,0.1169745158767157,0.1170,,-1.576,0.1169745158767157,0.1170
Derive (Formerly Lyra) Chain - Intent 3B,Grants Season 6,Cycle 26,Sent,400000,False,2024-09-01 00:00:00,400000,2024-06-11 - 2025-02-11,0.0952,-0.258,0.7965876552617981,0.7966,1.7342,-3.1398,0.0020052596940891565,0.0020,0.0333,-0.1004,0.9200889806798629,0.9201,0.976,-2.5767,0.010851678104270235,0.0109,-0.6667,1.081,0.28206602093385125,0.2821,1.1053,-0.7419,0.4591920280682844,0.4592,,,,nan,,,,nan,,,,nan,,,,nan,0.0626,-1.5186,0.13046127894592785,0.1305,11.2136,-24.4319,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.3704,0.5148,0.6078862247425922,0.6079,-0.2275,0.8793,0.38047097969864296,0.3805
